Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;41099 Villanueva del Río y Minas;Asia;..
Ambos sexos;41099 Villanueva del Río y Minas;Europa;4
Ambos sexos;41099 Villanueva del Río y Minas;Resto;..
Ambos sexos;41100 Villanueva de San Juan;Africa;1
Ambos sexos;41100 Villanueva de San Juan;América;..
Ambos sexos;41100 Villanueva de San Juan;Asia;..
Ambos sexos;41100 Villanueva de San Juan;Europa;4
Ambos sexos;41100 Villanueva de San Juan;Resto;..
Ambos sexos;41101 Villaverde del Río;Africa;8
Ambos sexos;41101 Villaverde del Río;América;2
Ambos sexos;41101 Villaverde del Río;Asia;5
Ambos sexos;41101 Villaverde del Río;Europa;4
Ambos sexos;41101 Villaverde del Río;Resto;..
Ambos sexos;41102 Viso del Alcor (El);Africa;10
Ambos sexos;41102 Viso del Alcor (El);América;5
Ambos sexos;41102 Viso del Alcor (El);Asia;..
Ambos sexos;41102 Viso del Alcor (El);Europa;6
Ambos sexos;41102 Viso del Alcor (El);Resto;..
Ambos sexos;41901 Cañada Rosal;Africa;6
Ambos sexos;41901 Cañada Rosal;América;..
Ambos sexos;41901 Cañada Rosal;Asia;..
Ambos sexos;41901 Cañada Rosal;Europa;1
Ambos sexos;41901 Cañada Rosal;Resto;..
Ambos sexos;41902 Villafranco del Guadalquivir;Africa;9
Ambos sexos;41902 Villafranco del Guadalquivir;América;1
Ambos sexos;41902 Villafranco del Guadalquivir;Asia;..
Ambos sexos;41902 Villafranco del Guadalquivir;Europa;..
Ambos sexos;41902 Villafranco del Guadalquivir;Resto;..
Ambos sexos;41903 Cuervo de Sevilla (El);Africa;33
Ambos sexos;41903 Cuervo de Sevilla (El);América;3
Ambos sexos;41903 Cuervo de Sevilla (El);Asia;..
Ambos sexos;41903 Cuervo de Sevilla (El);Europa;1
Ambos sexos;41903 Cuervo de Sevilla (El);Resto;..
