Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;21029 Cumbres Mayores;Total Unión Europea;4
Ambos sexos;21029 Cumbres Mayores;Reino Unido;0
Ambos sexos;21029 Cumbres Mayores;Alemania;3
Ambos sexos;21029 Cumbres Mayores;Total Africa;0
Ambos sexos;21029 Cumbres Mayores;Marruecos;0
Ambos sexos;21029 Cumbres Mayores;Total América;0
Ambos sexos;21029 Cumbres Mayores;Colombia;0
Ambos sexos;21029 Cumbres Mayores;Ecuador;0
Ambos sexos;21029 Cumbres Mayores;Total Asia;0
Ambos sexos;21029 Cumbres Mayores;Resto;0
Ambos sexos;21030 Chucena;Total Unión Europea;0
Ambos sexos;21030 Chucena;Reino Unido;0
Ambos sexos;21030 Chucena;Alemania;0
Ambos sexos;21030 Chucena;Total Africa;0
Ambos sexos;21030 Chucena;Marruecos;0
Ambos sexos;21030 Chucena;Total América;1
Ambos sexos;21030 Chucena;Colombia;0
Ambos sexos;21030 Chucena;Ecuador;0
Ambos sexos;21030 Chucena;Total Asia;0
Ambos sexos;21030 Chucena;Resto;0
Ambos sexos;21031 Encinasola;Total Unión Europea;9
Ambos sexos;21031 Encinasola;Reino Unido;0
Ambos sexos;21031 Encinasola;Alemania;0
Ambos sexos;21031 Encinasola;Total Africa;0
Ambos sexos;21031 Encinasola;Marruecos;0
Ambos sexos;21031 Encinasola;Total América;1
Ambos sexos;21031 Encinasola;Colombia;1
Ambos sexos;21031 Encinasola;Ecuador;0
Ambos sexos;21031 Encinasola;Total Asia;0
Ambos sexos;21031 Encinasola;Resto;0
Ambos sexos;21032 Escacena del Campo;Total Unión Europea;0
Ambos sexos;21032 Escacena del Campo;Reino Unido;0
Ambos sexos;21032 Escacena del Campo;Alemania;0
Ambos sexos;21032 Escacena del Campo;Total Africa;0
Ambos sexos;21032 Escacena del Campo;Marruecos;0
Ambos sexos;21032 Escacena del Campo;Total América;2
Ambos sexos;21032 Escacena del Campo;Colombia;0
Ambos sexos;21032 Escacena del Campo;Ecuador;0
Ambos sexos;21032 Escacena del Campo;Total Asia;0
Ambos sexos;21032 Escacena del Campo;Resto;0
Ambos sexos;21033 Fuenteheridos;Total Unión Europea;3
Ambos sexos;21033 Fuenteheridos;Reino Unido;3
Ambos sexos;21033 Fuenteheridos;Alemania;0
Ambos sexos;21033 Fuenteheridos;Total Africa;0
Ambos sexos;21033 Fuenteheridos;Marruecos;0
Ambos sexos;21033 Fuenteheridos;Total América;1
Ambos sexos;21033 Fuenteheridos;Colombia;0
Ambos sexos;21033 Fuenteheridos;Ecuador;0
Ambos sexos;21033 Fuenteheridos;Total Asia;0
Ambos sexos;21033 Fuenteheridos;Resto;0
Ambos sexos;21034 Galaroza;Total Unión Europea;13
Ambos sexos;21034 Galaroza;Reino Unido;5
Ambos sexos;21034 Galaroza;Alemania;3
Ambos sexos;21034 Galaroza;Total Africa;3
Ambos sexos;21034 Galaroza;Marruecos;3
Ambos sexos;21034 Galaroza;Total América;0
Ambos sexos;21034 Galaroza;Colombia;0
Ambos sexos;21034 Galaroza;Ecuador;0
Ambos sexos;21034 Galaroza;Total Asia;0
Ambos sexos;21034 Galaroza;Resto;0
Ambos sexos;21035 Gibraleón;Total Unión Europea;48
Ambos sexos;21035 Gibraleón;Reino Unido;2
Ambos sexos;21035 Gibraleón;Alemania;9
Ambos sexos;21035 Gibraleón;Total Africa;23
Ambos sexos;21035 Gibraleón;Marruecos;16
Ambos sexos;21035 Gibraleón;Total América;31
Ambos sexos;21035 Gibraleón;Colombia;0
Ambos sexos;21035 Gibraleón;Ecuador;5
Ambos sexos;21035 Gibraleón;Total Asia;0
Ambos sexos;21035 Gibraleón;Resto;0
Ambos sexos;21036 Granada de Río-Tinto (La);Total Unión Europea;0
Ambos sexos;21036 Granada de Río-Tinto (La);Reino Unido;0
Ambos sexos;21036 Granada de Río-Tinto (La);Alemania;0
Ambos sexos;21036 Granada de Río-Tinto (La);Total Africa;0
Ambos sexos;21036 Granada de Río-Tinto (La);Marruecos;0
Ambos sexos;21036 Granada de Río-Tinto (La);Total América;2
Ambos sexos;21036 Granada de Río-Tinto (La);Colombia;0
Ambos sexos;21036 Granada de Río-Tinto (La);Ecuador;0
Ambos sexos;21036 Granada de Río-Tinto (La);Total Asia;0
Ambos sexos;21036 Granada de Río-Tinto (La);Resto;0
Ambos sexos;21037 Granado (El);Total Unión Europea;44
Ambos sexos;21037 Granado (El);Reino Unido;1
Ambos sexos;21037 Granado (El);Alemania;10
Ambos sexos;21037 Granado (El);Total Africa;0
Ambos sexos;21037 Granado (El);Marruecos;0
Ambos sexos;21037 Granado (El);Total América;9
Ambos sexos;21037 Granado (El);Colombia;0
Ambos sexos;21037 Granado (El);Ecuador;7
Ambos sexos;21037 Granado (El);Total Asia;0
Ambos sexos;21037 Granado (El);Resto;0
Ambos sexos;21038 Higuera de la Sierra;Total Unión Europea;7
Ambos sexos;21038 Higuera de la Sierra;Reino Unido;0
Ambos sexos;21038 Higuera de la Sierra;Alemania;1
Ambos sexos;21038 Higuera de la Sierra;Total Africa;0
Ambos sexos;21038 Higuera de la Sierra;Marruecos;0
Ambos sexos;21038 Higuera de la Sierra;Total América;5
Ambos sexos;21038 Higuera de la Sierra;Colombia;0
Ambos sexos;21038 Higuera de la Sierra;Ecuador;5
Ambos sexos;21038 Higuera de la Sierra;Total Asia;0
Ambos sexos;21038 Higuera de la Sierra;Resto;0
Ambos sexos;21039 Hinojales;Total Unión Europea;2
Ambos sexos;21039 Hinojales;Reino Unido;0
Ambos sexos;21039 Hinojales;Alemania;0
Ambos sexos;21039 Hinojales;Total Africa;1
Ambos sexos;21039 Hinojales;Marruecos;1
Ambos sexos;21039 Hinojales;Total América;0
Ambos sexos;21039 Hinojales;Colombia;0
Ambos sexos;21039 Hinojales;Ecuador;0
Ambos sexos;21039 Hinojales;Total Asia;0
Ambos sexos;21039 Hinojales;Resto;0
Ambos sexos;21040 Hinojos;Total Unión Europea;0
Ambos sexos;21040 Hinojos;Reino Unido;0
Ambos sexos;21040 Hinojos;Alemania;0
Ambos sexos;21040 Hinojos;Total Africa;4
Ambos sexos;21040 Hinojos;Marruecos;3
Ambos sexos;21040 Hinojos;Total América;1
Ambos sexos;21040 Hinojos;Colombia;0
Ambos sexos;21040 Hinojos;Ecuador;1
Ambos sexos;21040 Hinojos;Total Asia;0
Ambos sexos;21040 Hinojos;Resto;0
Ambos sexos;21041 Huelva;Total Unión Europea;270
Ambos sexos;21041 Huelva;Reino Unido;18
Ambos sexos;21041 Huelva;Alemania;46
Ambos sexos;21041 Huelva;Total Africa;644
Ambos sexos;21041 Huelva;Marruecos;449
Ambos sexos;21041 Huelva;Total América;794
Ambos sexos;21041 Huelva;Colombia;439
Ambos sexos;21041 Huelva;Ecuador;110
Ambos sexos;21041 Huelva;Total Asia;90
Ambos sexos;21041 Huelva;Resto;0
Ambos sexos;21042 Isla Cristina;Total Unión Europea;192
Ambos sexos;21042 Isla Cristina;Reino Unido;12
Ambos sexos;21042 Isla Cristina;Alemania;18
Ambos sexos;21042 Isla Cristina;Total Africa;318
Ambos sexos;21042 Isla Cristina;Marruecos;307
Ambos sexos;21042 Isla Cristina;Total América;54
Ambos sexos;21042 Isla Cristina;Colombia;5
Ambos sexos;21042 Isla Cristina;Ecuador;25
Ambos sexos;21042 Isla Cristina;Total Asia;9
Ambos sexos;21042 Isla Cristina;Resto;0
Ambos sexos;21043 Jabugo;Total Unión Europea;10
Ambos sexos;21043 Jabugo;Reino Unido;1
Ambos sexos;21043 Jabugo;Alemania;0
Ambos sexos;21043 Jabugo;Total Africa;3
Ambos sexos;21043 Jabugo;Marruecos;2
Ambos sexos;21043 Jabugo;Total América;1
Ambos sexos;21043 Jabugo;Colombia;0
Ambos sexos;21043 Jabugo;Ecuador;1
Ambos sexos;21043 Jabugo;Total Asia;0
Ambos sexos;21043 Jabugo;Resto;0
Ambos sexos;21044 Lepe;Total Unión Europea;232
Ambos sexos;21044 Lepe;Reino Unido;12
Ambos sexos;21044 Lepe;Alemania;35
Ambos sexos;21044 Lepe;Total Africa;432
Ambos sexos;21044 Lepe;Marruecos;343
Ambos sexos;21044 Lepe;Total América;261
Ambos sexos;21044 Lepe;Colombia;37
Ambos sexos;21044 Lepe;Ecuador;194
Ambos sexos;21044 Lepe;Total Asia;11
Ambos sexos;21044 Lepe;Resto;0
Ambos sexos;21045 Linares de la Sierra;Total Unión Europea;0
Ambos sexos;21045 Linares de la Sierra;Reino Unido;0
Ambos sexos;21045 Linares de la Sierra;Alemania;0
Ambos sexos;21045 Linares de la Sierra;Total Africa;0
Ambos sexos;21045 Linares de la Sierra;Marruecos;0
Ambos sexos;21045 Linares de la Sierra;Total América;0
Ambos sexos;21045 Linares de la Sierra;Colombia;0
Ambos sexos;21045 Linares de la Sierra;Ecuador;0
Ambos sexos;21045 Linares de la Sierra;Total Asia;0
Ambos sexos;21045 Linares de la Sierra;Resto;0
Ambos sexos;21046 Lucena del Puerto;Total Unión Europea;2
Ambos sexos;21046 Lucena del Puerto;Reino Unido;0
Ambos sexos;21046 Lucena del Puerto;Alemania;0
Ambos sexos;21046 Lucena del Puerto;Total Africa;56
Ambos sexos;21046 Lucena del Puerto;Marruecos;55
Ambos sexos;21046 Lucena del Puerto;Total América;0
Ambos sexos;21046 Lucena del Puerto;Colombia;0
Ambos sexos;21046 Lucena del Puerto;Ecuador;0
Ambos sexos;21046 Lucena del Puerto;Total Asia;0
Ambos sexos;21046 Lucena del Puerto;Resto;0
Ambos sexos;21047 Manzanilla;Total Unión Europea;0
Ambos sexos;21047 Manzanilla;Reino Unido;0
Ambos sexos;21047 Manzanilla;Alemania;0
Ambos sexos;21047 Manzanilla;Total Africa;0
Ambos sexos;21047 Manzanilla;Marruecos;0
Ambos sexos;21047 Manzanilla;Total América;0
Ambos sexos;21047 Manzanilla;Colombia;0
Ambos sexos;21047 Manzanilla;Ecuador;0
Ambos sexos;21047 Manzanilla;Total Asia;0
Ambos sexos;21047 Manzanilla;Resto;0
Ambos sexos;21048 Marines (Los);Total Unión Europea;9
Ambos sexos;21048 Marines (Los);Reino Unido;9
Ambos sexos;21048 Marines (Los);Alemania;0
Ambos sexos;21048 Marines (Los);Total Africa;0
Ambos sexos;21048 Marines (Los);Marruecos;0
Ambos sexos;21048 Marines (Los);Total América;0
Ambos sexos;21048 Marines (Los);Colombia;0
Ambos sexos;21048 Marines (Los);Ecuador;0
Ambos sexos;21048 Marines (Los);Total Asia;0
Ambos sexos;21048 Marines (Los);Resto;0
Ambos sexos;21049 Minas de Riotinto;Total Unión Europea;5
Ambos sexos;21049 Minas de Riotinto;Reino Unido;0
Ambos sexos;21049 Minas de Riotinto;Alemania;1
Ambos sexos;21049 Minas de Riotinto;Total Africa;0
Ambos sexos;21049 Minas de Riotinto;Marruecos;0
Ambos sexos;21049 Minas de Riotinto;Total América;2
Ambos sexos;21049 Minas de Riotinto;Colombia;0
Ambos sexos;21049 Minas de Riotinto;Ecuador;0
Ambos sexos;21049 Minas de Riotinto;Total Asia;0
Ambos sexos;21049 Minas de Riotinto;Resto;0
Ambos sexos;21050 Moguer;Total Unión Europea;62
Ambos sexos;21050 Moguer;Reino Unido;8
Ambos sexos;21050 Moguer;Alemania;21
Ambos sexos;21050 Moguer;Total Africa;389
Ambos sexos;21050 Moguer;Marruecos;322
Ambos sexos;21050 Moguer;Total América;110
