Sexo;Municipios;Nacionalidad (principales nacionalidades);Total
Ambos sexos;18049 Cogollos de Guadix;Total Asia;0
Ambos sexos;18049 Cogollos de Guadix;Resto;0
Ambos sexos;18050 Cogollos de la Vega;Total Unión Europea;0
Ambos sexos;18050 Cogollos de la Vega;Reino Unido;0
Ambos sexos;18050 Cogollos de la Vega;Alemania;0
Ambos sexos;18050 Cogollos de la Vega;Total Africa;0
Ambos sexos;18050 Cogollos de la Vega;Marruecos;0
Ambos sexos;18050 Cogollos de la Vega;Total América;0
Ambos sexos;18050 Cogollos de la Vega;Colombia;0
Ambos sexos;18050 Cogollos de la Vega;Ecuador;0
Ambos sexos;18050 Cogollos de la Vega;Total Asia;0
Ambos sexos;18050 Cogollos de la Vega;Resto;0
Ambos sexos;18051 Colomera;Total Unión Europea;0
Ambos sexos;18051 Colomera;Reino Unido;0
Ambos sexos;18051 Colomera;Alemania;0
Ambos sexos;18051 Colomera;Total Africa;0
Ambos sexos;18051 Colomera;Marruecos;0
Ambos sexos;18051 Colomera;Total América;0
Ambos sexos;18051 Colomera;Colombia;0
Ambos sexos;18051 Colomera;Ecuador;0
Ambos sexos;18051 Colomera;Total Asia;0
Ambos sexos;18051 Colomera;Resto;0
Ambos sexos;18053 Cortes de Baza;Total Unión Europea;3
Ambos sexos;18053 Cortes de Baza;Reino Unido;0
Ambos sexos;18053 Cortes de Baza;Alemania;0
Ambos sexos;18053 Cortes de Baza;Total Africa;0
Ambos sexos;18053 Cortes de Baza;Marruecos;0
Ambos sexos;18053 Cortes de Baza;Total América;0
Ambos sexos;18053 Cortes de Baza;Colombia;0
Ambos sexos;18053 Cortes de Baza;Ecuador;0
Ambos sexos;18053 Cortes de Baza;Total Asia;0
Ambos sexos;18053 Cortes de Baza;Resto;0
Ambos sexos;18054 Cortes y Graena;Total Unión Europea;4
Ambos sexos;18054 Cortes y Graena;Reino Unido;0
Ambos sexos;18054 Cortes y Graena;Alemania;4
Ambos sexos;18054 Cortes y Graena;Total Africa;11
Ambos sexos;18054 Cortes y Graena;Marruecos;11
Ambos sexos;18054 Cortes y Graena;Total América;0
Ambos sexos;18054 Cortes y Graena;Colombia;0
Ambos sexos;18054 Cortes y Graena;Ecuador;0
Ambos sexos;18054 Cortes y Graena;Total Asia;0
Ambos sexos;18054 Cortes y Graena;Resto;0
Ambos sexos;18056 Cúllar;Total Unión Europea;15
Ambos sexos;18056 Cúllar;Reino Unido;11
Ambos sexos;18056 Cúllar;Alemania;0
Ambos sexos;18056 Cúllar;Total Africa;3
Ambos sexos;18056 Cúllar;Marruecos;2
Ambos sexos;18056 Cúllar;Total América;12
Ambos sexos;18056 Cúllar;Colombia;0
Ambos sexos;18056 Cúllar;Ecuador;6
Ambos sexos;18056 Cúllar;Total Asia;0
Ambos sexos;18056 Cúllar;Resto;0
Ambos sexos;18057 Cúllar Vega;Total Unión Europea;20
Ambos sexos;18057 Cúllar Vega;Reino Unido;3
Ambos sexos;18057 Cúllar Vega;Alemania;3
Ambos sexos;18057 Cúllar Vega;Total Africa;7
Ambos sexos;18057 Cúllar Vega;Marruecos;6
Ambos sexos;18057 Cúllar Vega;Total América;15
Ambos sexos;18057 Cúllar Vega;Colombia;1
Ambos sexos;18057 Cúllar Vega;Ecuador;0
Ambos sexos;18057 Cúllar Vega;Total Asia;1
Ambos sexos;18057 Cúllar Vega;Resto;0
Ambos sexos;18059 Chauchina;Total Unión Europea;2
Ambos sexos;18059 Chauchina;Reino Unido;0
Ambos sexos;18059 Chauchina;Alemania;0
Ambos sexos;18059 Chauchina;Total Africa;1
Ambos sexos;18059 Chauchina;Marruecos;1
Ambos sexos;18059 Chauchina;Total América;11
Ambos sexos;18059 Chauchina;Colombia;1
Ambos sexos;18059 Chauchina;Ecuador;0
Ambos sexos;18059 Chauchina;Total Asia;1
Ambos sexos;18059 Chauchina;Resto;0
