Sexo;Municipios;Nacionalidad (continentes);Total
Ambos sexos;065  Victoria (La);Africa;1
Ambos sexos;065  Victoria (La);América;..
Ambos sexos;065  Victoria (La);Asia;..
Ambos sexos;065  Victoria (La);Europa;..
Ambos sexos;065  Victoria (La);Resto;..
Ambos sexos;066  Villa del Río;Africa;..
Ambos sexos;066  Villa del Río;América;..
Ambos sexos;066  Villa del Río;Asia;..
Ambos sexos;066  Villa del Río;Europa;3
Ambos sexos;066  Villa del Río;Resto;..
Ambos sexos;067  Villafranca de Córdoba;Africa;2
Ambos sexos;067  Villafranca de Córdoba;América;1
Ambos sexos;067  Villafranca de Córdoba;Asia;..
Ambos sexos;067  Villafranca de Córdoba;Europa;..
Ambos sexos;067  Villafranca de Córdoba;Resto;..
Ambos sexos;068  Villaharta;Africa;..
Ambos sexos;068  Villaharta;América;..
Ambos sexos;068  Villaharta;Asia;..
Ambos sexos;068  Villaharta;Europa;..
Ambos sexos;068  Villaharta;Resto;..
Ambos sexos;069  Villanueva de Córdoba;Africa;1
Ambos sexos;069  Villanueva de Córdoba;América;1
Ambos sexos;069  Villanueva de Córdoba;Asia;..
Ambos sexos;069  Villanueva de Córdoba;Europa;4
Ambos sexos;069  Villanueva de Córdoba;Resto;..
Ambos sexos;070  Villanueva del Duque;Africa;..
Ambos sexos;070  Villanueva del Duque;América;..
Ambos sexos;070  Villanueva del Duque;Asia;..
Ambos sexos;070  Villanueva del Duque;Europa;1
Ambos sexos;070  Villanueva del Duque;Resto;..
Ambos sexos;071  Villanueva del Rey;Africa;..
Ambos sexos;071  Villanueva del Rey;América;..
Ambos sexos;071  Villanueva del Rey;Asia;..
Ambos sexos;071  Villanueva del Rey;Europa;4
Ambos sexos;071  Villanueva del Rey;Resto;..
Ambos sexos;072  Villaralto;Africa;..
Ambos sexos;072  Villaralto;América;..
Ambos sexos;072  Villaralto;Asia;..
Ambos sexos;072  Villaralto;Europa;..
Ambos sexos;072  Villaralto;Resto;..
