Municipios,Año,Total,Provincia,Clasificación
Bayarque,2011,229.0,Almería,1
Bayarque,2010,233.0,Almería,1
Bayarque,2009,230.0,Almería,1
Bayarque,2008,244.0,Almería,1
Bayarque,2007,244.0,Almería,1
Bayarque,2006,237.0,Almería,1
Bayarque,2005,250.0,Almería,1
Bayarque,2004,246.0,Almería,1
Bayarque,2003,233.0,Almería,1
Bayarque,2002,235.0,Almería,1
Bayarque,2001,241.0,Almería,1
Bayarque,2000,238.0,Almería,1
Bayarque,1999,234.0,Almería,1
Bayarque,1998,237.0,Almería,1
Bédar,2019,971.0,Almería,1
Bédar,2018,927.0,Almería,1
Bédar,2017,892.0,Almería,1
Bédar,2016,885.0,Almería,1
Bédar,2015,990.0,Almería,1
Bédar,2014,986.0,Almería,1
Bédar,2013,1113.0,Almería,1
Bédar,2012,1083.0,Almería,1
Bédar,2011,1061.0,Almería,1
Bédar,2010,1039.0,Almería,1
Bédar,2009,1014.0,Almería,1
Bédar,2008,976.0,Almería,1
Bédar,2007,910.0,Almería,1
Bédar,2006,824.0,Almería,1
Bédar,2005,777.0,Almería,1
Bédar,2004,732.0,Almería,1
Bédar,2003,668.0,Almería,1
Bédar,2002,632.0,Almería,1
Bédar,2001,597.0,Almería,1
Bédar,2000,572.0,Almería,1
Bédar,1999,566.0,Almería,1
Bédar,1998,550.0,Almería,1
Beires,2019,110.0,Almería,1
Beires,2018,117.0,Almería,1
Beires,2017,110.0,Almería,1
Beires,2016,114.0,Almería,1
Beires,2015,119.0,Almería,1
Beires,2014,112.0,Almería,1
Beires,2013,114.0,Almería,1
Beires,2012,111.0,Almería,1
Beires,2011,118.0,Almería,1
Beires,2010,121.0,Almería,1
Beires,2009,126.0,Almería,1
Beires,2008,132.0,Almería,1
Beires,2007,128.0,Almería,1
Beires,2006,128.0,Almería,1
Beires,2005,126.0,Almería,1
Beires,2004,121.0,Almería,1
Beires,2003,121.0,Almería,1
Beires,2002,135.0,Almería,1
Beires,2001,138.0,Almería,1
Beires,2000,142.0,Almería,1
Beires,1999,144.0,Almería,1
Beires,1998,141.0,Almería,1
Benahadux,2019,4382.0,Almería,3
Benahadux,2018,4357.0,Almería,3
Benahadux,2017,4212.0,Almería,3
Benahadux,2016,4185.0,Almería,3
Benahadux,2015,4183.0,Almería,3
Benahadux,2014,4220.0,Almería,3
Benahadux,2013,4222.0,Almería,3
Benahadux,2012,4201.0,Almería,3
Benahadux,2011,4166.0,Almería,3
Benahadux,2010,4059.0,Almería,3
Benahadux,2009,3940.0,Almería,3
Benahadux,2008,3814.0,Almería,3
Benahadux,2007,3570.0,Almería,3
Benahadux,2006,3396.0,Almería,3
Benahadux,2005,3205.0,Almería,3
Benahadux,2004,3058.0,Almería,3
Benahadux,2003,2983.0,Almería,3
Benahadux,2002,2924.0,Almería,3
Benahadux,2001,2888.0,Almería,3
Benahadux,2000,2814.0,Almería,3
Benahadux,1999,2775.0,Almería,3
Benahadux,1998,2740.0,Almería,3
Benitagla,2019,58.0,Almería,1
Benitagla,2018,68.0,Almería,1
Benitagla,2017,66.0,Almería,1
Benitagla,2016,69.0,Almería,1
Benitagla,2015,78.0,Almería,1
Benitagla,2014,71.0,Almería,1
Benitagla,2013,73.0,Almería,1
Benitagla,2012,78.0,Almería,1
Benitagla,2011,84.0,Almería,1
Benitagla,2010,84.0,Almería,1
Benitagla,2009,88.0,Almería,1
Benitagla,2008,94.0,Almería,1
Benitagla,2007,98.0,Almería,1
Benitagla,2006,66.0,Almería,1
Benitagla,2005,65.0,Almería,1
Benitagla,2004,66.0,Almería,1
Benitagla,2003,68.0,Almería,1
Benitagla,2002,80.0,Almería,1
Benitagla,2001,89.0,Almería,1
Benitagla,2000,92.0,Almería,1
Benitagla,1999,86.0,Almería,1
Benitagla,1998,86.0,Almería,1
Benizalón,2019,254.0,Almería,1
Benizalón,2018,248.0,Almería,1
Benizalón,2017,263.0,Almería,1
Benizalón,2016,280.0,Almería,1
Benizalón,2015,283.0,Almería,1
Benizalón,2014,284.0,Almería,1
Benizalón,2013,281.0,Almería,1
Benizalón,2012,288.0,Almería,1
Benizalón,2011,299.0,Almería,1
Benizalón,2010,286.0,Almería,1
Benizalón,2009,286.0,Almería,1
Benizalón,2008,293.0,Almería,1
Benizalón,2007,293.0,Almería,1
Benizalón,2006,295.0,Almería,1
Benizalón,2005,308.0,Almería,1
Benizalón,2004,302.0,Almería,1
Benizalón,2003,305.0,Almería,1
Benizalón,2002,309.0,Almería,1
Benizalón,2001,291.0,Almería,1
Benizalón,2000,304.0,Almería,1
Benizalón,1999,324.0,Almería,1
Benizalón,1998,324.0,Almería,1
Bentarique,2019,238.0,Almería,1
Bentarique,2018,243.0,Almería,1
Bentarique,2017,238.0,Almería,1
Bentarique,2016,252.0,Almería,1
Bentarique,2015,258.0,Almería,1
Bentarique,2014,255.0,Almería,1
Bentarique,2013,260.0,Almería,1
Bentarique,2012,278.0,Almería,1
Bentarique,2011,277.0,Almería,1
Bentarique,2010,280.0,Almería,1
Bentarique,2009,272.0,Almería,1
Bentarique,2008,277.0,Almería,1
Bentarique,2007,284.0,Almería,1
Bentarique,2006,284.0,Almería,1
Bentarique,2005,275.0,Almería,1
Bentarique,2004,278.0,Almería,1
Bentarique,2003,281.0,Almería,1
Bentarique,2002,298.0,Almería,1
Bentarique,2001,308.0,Almería,1
Bentarique,2000,317.0,Almería,1
Bentarique,1999,321.0,Almería,1
Bentarique,1998,319.0,Almería,1
Berja,2019,12415.0,Almería,4
Berja,2018,12381.0,Almería,4
Berja,2017,12331.0,Almería,4
Berja,2016,12380.0,Almería,4
Berja,2015,15174.0,Almería,4
Berja,2014,15323.0,Almería,4
Berja,2013,15521.0,Almería,4
Berja,2012,15504.0,Almería,4
Berja,2011,15388.0,Almería,4
Berja,2010,15325.0,Almería,4
Berja,2009,15035.0,Almería,4
Berja,2008,15001.0,Almería,4
Berja,2007,14508.0,Almería,4
Berja,2006,14450.0,Almería,4
Berja,2005,14249.0,Almería,4
Berja,2004,13924.0,Almería,4
Berja,2003,13670.0,Almería,4
Berja,2002,13405.0,Almería,4
Berja,2001,13331.0,Almería,4
Berja,2000,13279.0,Almería,4
Berja,1999,13317.0,Almería,4
Berja,1998,13197.0,Almería,4
Canjáyar,2019,1214.0,Almería,2
Canjáyar,2018,1202.0,Almería,2
Canjáyar,2017,1223.0,Almería,2
Canjáyar,2016,1279.0,Almería,2
Canjáyar,2015,1342.0,Almería,2
Canjáyar,2014,1365.0,Almería,2
Canjáyar,2013,1405.0,Almería,2
Canjáyar,2012,1438.0,Almería,2
Canjáyar,2011,1451.0,Almería,2
Canjáyar,2010,1490.0,Almería,2
Canjáyar,2009,1506.0,Almería,2
Canjáyar,2008,1529.0,Almería,2
Canjáyar,2007,1544.0,Almería,2
Canjáyar,2006,1561.0,Almería,2
Canjáyar,2005,1573.0,Almería,2
Canjáyar,2004,1575.0,Almería,2
Canjáyar,2003,1582.0,Almería,2
Canjáyar,2002,1618.0,Almería,2
Canjáyar,2001,1656.0,Almería,2
Canjáyar,2000,1667.0,Almería,2
Canjáyar,1999,1694.0,Almería,2
Canjáyar,1998,1728.0,Almería,2
Cantoria,2019,3204.0,Almería,3
Cantoria,2018,3228.0,Almería,3
Cantoria,2017,3251.0,Almería,3
Cantoria,2016,3371.0,Almería,3
Cantoria,2015,3580.0,Almería,3
Cantoria,2014,3617.0,Almería,3
Cantoria,2013,3926.0,Almería,3
Cantoria,2012,3956.0,Almería,3
Cantoria,2011,4039.0,Almería,3
Cantoria,2010,4001.0,Almería,3
Cantoria,2009,4016.0,Almería,3
Cantoria,2008,4025.0,Almería,3
Cantoria,2007,3838.0,Almería,3
Cantoria,2006,3703.0,Almería,3
Cantoria,2005,3565.0,Almería,3
Cantoria,2004,3382.0,Almería,3
Cantoria,2003,3230.0,Almería,3
Cantoria,2002,3223.0,Almería,3
Cantoria,2001,3147.0,Almería,3
Cantoria,2000,3147.0,Almería,3
Cantoria,1999,3206.0,Almería,3
Cantoria,1998,3206.0,Almería,3
Carboneras,2019,8004.0,Almería,3
Carboneras,2018,7757.0,Almería,3
Carboneras,2017,7837.0,Almería,3
Carboneras,2016,7818.0,Almería,3
Carboneras,2015,7838.0,Almería,3
Carboneras,2014,7852.0,Almería,3
Carboneras,2013,8035.0,Almería,3
Carboneras,2012,8081.0,Almería,3
Carboneras,2011,8189.0,Almería,3
Carboneras,2010,8123.0,Almería,3
Carboneras,2009,7964.0,Almería,3
Carboneras,2008,7787.0,Almería,3
Carboneras,2007,7570.0,Almería,3
Carboneras,2006,7508.0,Almería,3
Carboneras,2005,7267.0,Almería,3
Carboneras,2004,7100.0,Almería,3
Carboneras,2003,6996.0,Almería,3
Carboneras,2002,6777.0,Almería,3
Carboneras,2001,6660.0,Almería,3
Carboneras,2000,6530.0,Almería,3
Carboneras,1999,6360.0,Almería,3
Carboneras,1998,6312.0,Almería,3
Castro de Filabres,2019,123.0,Almería,1
