,Sexo,Municipios,País de nacimiento,Total,Año
317,Ambos sexos,Antas,Total Unión Europea,32.0,2002
318,Ambos sexos,Antas,Total Europa,251.0,2004
319,Ambos sexos,Antas,Total Europa,320,2005
320,Ambos sexos,Antas,Total Europa,341.0,2006
321,Ambos sexos,Antas,Total Europa,370.0,2007
322,Ambos sexos,Antas,Total Europa,447.0,2008
323,Ambos sexos,Antas,Total Europa,479.0,2009
324,Ambos sexos,Antas,Total Europa,425.0,2010
325,Ambos sexos,Antas,Total Europa,426.0,2011
326,Ambos sexos,Antas,Total Europa,431.0,2012
327,Ambos sexos,Antas,Total Europa,425.0,2013
328,Ambos sexos,Antas,Total Europa,319.0,2014
329,Ambos sexos,Antas,Total Europa,305.0,2015
330,Ambos sexos,Antas,Total Europa,298.0,2016
331,Ambos sexos,Antas,Total Europa,294.0,2017
332,Ambos sexos,Antas,Total Europa,320.0,2018
333,Ambos sexos,Antas,Total Europa,345.0,2019
334,Ambos sexos,Arboleas,Europa,15,1998
335,Ambos sexos,Arboleas,Europa,24,1999
336,Ambos sexos,Arboleas,Europa,40,2000
337,Ambos sexos,Arboleas,Europa,89,2001
338,Ambos sexos,Arboleas,Total Unión Europea,196.0,2002
339,Ambos sexos,Arboleas,Total Europa,711.0,2004
340,Ambos sexos,Arboleas,Total Europa,1168,2005
341,Ambos sexos,Arboleas,Total Europa,1618.0,2006
342,Ambos sexos,Arboleas,Total Europa,2121.0,2007
343,Ambos sexos,Arboleas,Total Europa,2557.0,2008
344,Ambos sexos,Arboleas,Total Europa,2813.0,2009
345,Ambos sexos,Arboleas,Total Europa,3002.0,2010
346,Ambos sexos,Arboleas,Total Europa,3163.0,2011
347,Ambos sexos,Arboleas,Total Europa,3308.0,2012
348,Ambos sexos,Arboleas,Total Europa,3418.0,2013
349,Ambos sexos,Arboleas,Total Europa,3013.0,2014
350,Ambos sexos,Arboleas,Total Europa,2989.0,2015
351,Ambos sexos,Arboleas,Total Europa,2869.0,2016
352,Ambos sexos,Arboleas,Total Europa,2818.0,2017
353,Ambos sexos,Arboleas,Total Europa,2951.0,2018
354,Ambos sexos,Arboleas,Total Europa,2953.0,2019
355,Ambos sexos,Armuña de Almanzora,Europa,0,1998
356,Ambos sexos,Armuña de Almanzora,Europa,0,1999
357,Ambos sexos,Armuña de Almanzora,Europa,1,2000
358,Ambos sexos,Armuña de Almanzora,Europa,1,2001
359,Ambos sexos,Armuña de Almanzora,Total Unión Europea,0.0,2002
360,Ambos sexos,Armuña de Almanzora,Total Europa,4.0,2004
361,Ambos sexos,Armuña de Almanzora,Total Europa,8,2005
362,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2006
363,Ambos sexos,Armuña de Almanzora,Total Europa,10.0,2007
364,Ambos sexos,Armuña de Almanzora,Total Europa,10.0,2008
365,Ambos sexos,Armuña de Almanzora,Total Europa,14.0,2009
366,Ambos sexos,Armuña de Almanzora,Total Europa,14.0,2010
367,Ambos sexos,Armuña de Almanzora,Total Europa,17.0,2011
368,Ambos sexos,Armuña de Almanzora,Total Europa,17.0,2012
369,Ambos sexos,Armuña de Almanzora,Total Europa,13.0,2013
370,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2014
371,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2015
372,Ambos sexos,Armuña de Almanzora,Total Europa,11.0,2016
373,Ambos sexos,Armuña de Almanzora,Total Europa,12.0,2017
374,Ambos sexos,Armuña de Almanzora,Total Europa,20.0,2018
375,Ambos sexos,Armuña de Almanzora,Total Europa,16.0,2019
376,Ambos sexos,Bacares,Europa,0,1998
377,Ambos sexos,Bacares,Europa,0,1999
378,Ambos sexos,Bacares,Europa,0,2000
379,Ambos sexos,Bacares,Europa,1,2001
380,Ambos sexos,Bacares,Total Unión Europea,1.0,2002
381,Ambos sexos,Bacares,Total Europa,6.0,2004
382,Ambos sexos,Bacares,Total Europa,6,2005
383,Ambos sexos,Bacares,Total Europa,3.0,2006
384,Ambos sexos,Bacares,Total Europa,6.0,2007
385,Ambos sexos,Bacares,Total Europa,5.0,2008
386,Ambos sexos,Bacares,Total Europa,4.0,2009
387,Ambos sexos,Bacares,Total Europa,4.0,2010
388,Ambos sexos,Bacares,Total Europa,4.0,2011
389,Ambos sexos,Bacares,Total Europa,4.0,2012
390,Ambos sexos,Bacares,Total Europa,3.0,2013
391,Ambos sexos,Bacares,Total Europa,3.0,2014
392,Ambos sexos,Bacares,Total Europa,3.0,2015
393,Ambos sexos,Bacares,Total Europa,3.0,2016
394,Ambos sexos,Bacares,Total Europa,3.0,2017
395,Ambos sexos,Bacares,Total Europa,2.0,2018
396,Ambos sexos,Bacares,Total Europa,2.0,2019
397,Ambos sexos,Bayárcal,Europa,2,1998
398,Ambos sexos,Bayárcal,Europa,1,1999
399,Ambos sexos,Bayárcal,Europa,1,2000
400,Ambos sexos,Bayárcal,Europa,1,2001
401,Ambos sexos,Bayárcal,Total Unión Europea,0.0,2002
402,Ambos sexos,Bayárcal,Total Europa,0.0,2004
403,Ambos sexos,Bayárcal,Total Europa,1,2005
404,Ambos sexos,Bayárcal,Total Europa,1.0,2006
405,Ambos sexos,Bayárcal,Total Europa,1.0,2007
406,Ambos sexos,Bayárcal,Total Europa,6.0,2008
407,Ambos sexos,Bayárcal,Total Europa,6.0,2009
408,Ambos sexos,Bayárcal,Total Europa,15.0,2010
409,Ambos sexos,Bayárcal,Total Europa,23.0,2011
410,Ambos sexos,Bayárcal,Total Europa,23.0,2012
411,Ambos sexos,Bayárcal,Total Europa,13.0,2013
412,Ambos sexos,Bayárcal,Total Europa,11.0,2014
413,Ambos sexos,Bayárcal,Total Europa,12.0,2015
414,Ambos sexos,Bayárcal,Total Europa,11.0,2016
415,Ambos sexos,Bayárcal,Total Europa,9.0,2017
416,Ambos sexos,Bayárcal,Total Europa,5.0,2018
417,Ambos sexos,Bayárcal,Total Europa,7.0,2019
418,Ambos sexos,Bayarque,Europa,0,1998
419,Ambos sexos,Bayarque,Europa,0,1999
420,Ambos sexos,Bayarque,Europa,0,2000
421,Ambos sexos,Bayarque,Europa,0,2001
422,Ambos sexos,Bayarque,Total Unión Europea,0.0,2002
423,Ambos sexos,Bayarque,Total Europa,3.0,2004
424,Ambos sexos,Bayarque,Total Europa,8,2005
425,Ambos sexos,Bayarque,Total Europa,7.0,2006
426,Ambos sexos,Bayarque,Total Europa,12.0,2007
427,Ambos sexos,Bayarque,Total Europa,15.0,2008
428,Ambos sexos,Bayarque,Total Europa,15.0,2009
429,Ambos sexos,Bayarque,Total Europa,19.0,2010
430,Ambos sexos,Bayarque,Total Europa,19.0,2011
431,Ambos sexos,Bayarque,Total Europa,18.0,2012
432,Ambos sexos,Bayarque,Total Europa,16.0,2013
433,Ambos sexos,Bayarque,Total Europa,15.0,2014
434,Ambos sexos,Bayarque,Total Europa,14.0,2015
435,Ambos sexos,Bayarque,Total Europa,13.0,2016
436,Ambos sexos,Bayarque,Total Europa,14.0,2017
437,Ambos sexos,Bayarque,Total Europa,15.0,2018
438,Ambos sexos,Bayarque,Total Europa,15.0,2019
439,Ambos sexos,Bédar,Europa,112,1998
440,Ambos sexos,Bédar,Europa,126,1999
441,Ambos sexos,Bédar,Europa,140,2000
442,Ambos sexos,Bédar,Europa,151,2001
443,Ambos sexos,Bédar,Total Unión Europea,202.0,2002
444,Ambos sexos,Bédar,Total Europa,388.0,2006
445,Ambos sexos,Bédar,Total Europa,457.0,2007
446,Ambos sexos,Bédar,Total Europa,519.0,2008
447,Ambos sexos,Bédar,Total Europa,558.0,2009
448,Ambos sexos,Bédar,Total Europa,582.0,2010
449,Ambos sexos,Bédar,Total Europa,592.0,2011
450,Ambos sexos,Bédar,Total Europa,613.0,2012
451,Ambos sexos,Bédar,Total Europa,639.0,2013
452,Ambos sexos,Bédar,Total Europa,510.0,2014
453,Ambos sexos,Bédar,Total Europa,511.0,2015
454,Ambos sexos,Bédar,Total Europa,423.0,2016
455,Ambos sexos,Bédar,Total Europa,440.0,2017
456,Ambos sexos,Bédar,Total Europa,470.0,2018
457,Ambos sexos,Bédar,Total Europa,512.0,2019
458,Ambos sexos,Beires,Europa,0,1998
459,Ambos sexos,Beires,Europa,0,1999
460,Ambos sexos,Beires,Europa,0,2000
461,Ambos sexos,Beires,Europa,0,2001
462,Ambos sexos,Beires,Total Unión Europea,0.0,2002
463,Ambos sexos,Beires,Total Europa,2.0,2004
464,Ambos sexos,Beires,Total Europa,3,2005
465,Ambos sexos,Beires,Total Europa,4.0,2006
466,Ambos sexos,Beires,Total Europa,4.0,2007
467,Ambos sexos,Beires,Total Europa,6.0,2008
468,Ambos sexos,Beires,Total Europa,4.0,2009
469,Ambos sexos,Beires,Total Europa,4.0,2010
470,Ambos sexos,Beires,Total Europa,4.0,2011
471,Ambos sexos,Beires,Total Europa,2.0,2012
472,Ambos sexos,Beires,Total Europa,2.0,2013
473,Ambos sexos,Beires,Total Europa,2.0,2014
474,Ambos sexos,Beires,Total Europa,2.0,2015
475,Ambos sexos,Beires,Total Europa,2.0,2016
476,Ambos sexos,Beires,Total Europa,2.0,2017
477,Ambos sexos,Beires,Total Europa,1.0,2018
478,Ambos sexos,Beires,Total Europa,2.0,2019
479,Ambos sexos,Benahadux,Europa,10,1998
480,Ambos sexos,Benahadux,Europa,14,1999
481,Ambos sexos,Benahadux,Europa,10,2000
482,Ambos sexos,Benahadux,Europa,6,2001
483,Ambos sexos,Benahadux,Total Unión Europea,8.0,2002
484,Ambos sexos,Benahadux,Total Europa,84.0,2004
485,Ambos sexos,Benahadux,Total Europa,98,2005
486,Ambos sexos,Benahadux,Total Europa,104.0,2006
