,Sexo,Municipios,País de nacimiento,Total,Año
270,Ambos sexos,Bédar,Total Europa,440.0,2017
271,Ambos sexos,Bédar,Total Europa,470.0,2018
272,Ambos sexos,Bédar,Total Europa,512.0,2019
273,Ambos sexos,Beires,Europa,0,1998
274,Ambos sexos,Beires,Europa,0,1999
275,Ambos sexos,Beires,Europa,0,2000
276,Ambos sexos,Beires,Europa,0,2001
277,Ambos sexos,Beires,Total Unión Europea,0.0,2002
278,Ambos sexos,Beires,Total Europa,2.0,2004
279,Ambos sexos,Beires,Total Europa,3,2005
280,Ambos sexos,Beires,Total Europa,4.0,2006
281,Ambos sexos,Beires,Total Europa,4.0,2007
282,Ambos sexos,Beires,Total Europa,6.0,2008
283,Ambos sexos,Beires,Total Europa,4.0,2009
284,Ambos sexos,Beires,Total Europa,4.0,2010
285,Ambos sexos,Beires,Total Europa,4.0,2011
286,Ambos sexos,Beires,Total Europa,2.0,2012
287,Ambos sexos,Beires,Total Europa,2.0,2013
288,Ambos sexos,Beires,Total Europa,2.0,2014
289,Ambos sexos,Beires,Total Europa,2.0,2015
290,Ambos sexos,Beires,Total Europa,2.0,2016
291,Ambos sexos,Beires,Total Europa,2.0,2017
292,Ambos sexos,Beires,Total Europa,1.0,2018
293,Ambos sexos,Beires,Total Europa,2.0,2019
294,Ambos sexos,Benitagla,Europa,0,1998
295,Ambos sexos,Benitagla,Europa,0,1999
296,Ambos sexos,Benitagla,Europa,0,2000
297,Ambos sexos,Benitagla,Europa,0,2001
298,Ambos sexos,Benitagla,Total Unión Europea,0.0,2002
299,Ambos sexos,Benitagla,Total Europa,0.0,2004
300,Ambos sexos,Benitagla,Total Europa,0,2005
301,Ambos sexos,Benitagla,Total Europa,0.0,2006
302,Ambos sexos,Benitagla,Total Europa,0.0,2007
303,Ambos sexos,Benitagla,Total Europa,2.0,2008
304,Ambos sexos,Benitagla,Total Europa,2.0,2009
305,Ambos sexos,Benitagla,Total Europa,1.0,2010
306,Ambos sexos,Benitagla,Total Europa,1.0,2011
307,Ambos sexos,Benitagla,Total Europa,1.0,2012
308,Ambos sexos,Benitagla,Total Europa,0.0,2013
309,Ambos sexos,Benitagla,Total Europa,0.0,2014
310,Ambos sexos,Benitagla,Total Europa,0.0,2015
311,Ambos sexos,Benitagla,Total Europa,0.0,2016
312,Ambos sexos,Benitagla,Total Europa,0.0,2017
313,Ambos sexos,Benitagla,Total Europa,1.0,2018
314,Ambos sexos,Benitagla,Total Europa,1.0,2019
315,Ambos sexos,Benizalón,Europa,2,1998
316,Ambos sexos,Benizalón,Europa,2,1999
317,Ambos sexos,Benizalón,Europa,2,2000
318,Ambos sexos,Benizalón,Europa,2,2001
319,Ambos sexos,Benizalón,Total Unión Europea,2.0,2002
320,Ambos sexos,Benizalón,Total Europa,2.0,2004
321,Ambos sexos,Benizalón,Total Europa,14,2005
322,Ambos sexos,Benizalón,Total Europa,20.0,2006
323,Ambos sexos,Benizalón,Total Europa,20.0,2007
324,Ambos sexos,Benizalón,Total Europa,28.0,2008
325,Ambos sexos,Benizalón,Total Europa,28.0,2009
326,Ambos sexos,Benizalón,Total Europa,32.0,2010
327,Ambos sexos,Benizalón,Total Europa,28.0,2011
328,Ambos sexos,Benizalón,Total Europa,28.0,2012
329,Ambos sexos,Benizalón,Total Europa,30.0,2013
330,Ambos sexos,Benizalón,Total Europa,31.0,2014
331,Ambos sexos,Benizalón,Total Europa,26.0,2015
332,Ambos sexos,Benizalón,Total Europa,19.0,2016
333,Ambos sexos,Benizalón,Total Europa,12.0,2017
334,Ambos sexos,Benizalón,Total Europa,11.0,2018
335,Ambos sexos,Benizalón,Total Europa,11.0,2019
336,Ambos sexos,Bentarique,Europa,0,1998
337,Ambos sexos,Bentarique,Europa,0,1999
338,Ambos sexos,Bentarique,Europa,0,2000
339,Ambos sexos,Bentarique,Europa,0,2001
340,Ambos sexos,Bentarique,Total Unión Europea,0.0,2002
341,Ambos sexos,Bentarique,Total Europa,1.0,2004
342,Ambos sexos,Bentarique,Total Europa,1,2005
343,Ambos sexos,Bentarique,Total Europa,8.0,2006
344,Ambos sexos,Bentarique,Total Europa,12.0,2007
345,Ambos sexos,Bentarique,Total Europa,9.0,2008
346,Ambos sexos,Bentarique,Total Europa,9.0,2009
347,Ambos sexos,Bentarique,Total Europa,9.0,2010
348,Ambos sexos,Bentarique,Total Europa,9.0,2011
349,Ambos sexos,Bentarique,Total Europa,12.0,2012
350,Ambos sexos,Bentarique,Total Europa,5.0,2013
351,Ambos sexos,Bentarique,Total Europa,3.0,2014
352,Ambos sexos,Bentarique,Total Europa,8.0,2015
353,Ambos sexos,Bentarique,Total Europa,5.0,2016
354,Ambos sexos,Bentarique,Total Europa,1.0,2017
355,Ambos sexos,Bentarique,Total Europa,2.0,2018
356,Ambos sexos,Bentarique,Total Europa,6.0,2019
357,Ambos sexos,Castro de Filabres,Europa,0,1998
358,Ambos sexos,Castro de Filabres,Europa,0,1999
359,Ambos sexos,Castro de Filabres,Europa,0,2000
360,Ambos sexos,Castro de Filabres,Europa,0,2001
361,Ambos sexos,Castro de Filabres,Total Unión Europea,0.0,2002
362,Ambos sexos,Castro de Filabres,Total Europa,6.0,2004
363,Ambos sexos,Castro de Filabres,Total Europa,7,2005
364,Ambos sexos,Castro de Filabres,Total Europa,7.0,2006
365,Ambos sexos,Castro de Filabres,Total Europa,7.0,2007
366,Ambos sexos,Castro de Filabres,Total Europa,9.0,2008
367,Ambos sexos,Castro de Filabres,Total Europa,9.0,2009
368,Ambos sexos,Castro de Filabres,Total Europa,10.0,2010
369,Ambos sexos,Castro de Filabres,Total Europa,12.0,2011
370,Ambos sexos,Castro de Filabres,Total Europa,13.0,2012
371,Ambos sexos,Castro de Filabres,Total Europa,12.0,2013
372,Ambos sexos,Castro de Filabres,Total Europa,10.0,2014
373,Ambos sexos,Castro de Filabres,Total Europa,10.0,2015
374,Ambos sexos,Castro de Filabres,Total Europa,8.0,2016
375,Ambos sexos,Castro de Filabres,Total Europa,7.0,2017
376,Ambos sexos,Castro de Filabres,Total Europa,6.0,2018
377,Ambos sexos,Castro de Filabres,Total Europa,6.0,2019
378,Ambos sexos,Chercos,Europa,1,1998
