Municipios,Origen,Total,Año,Provincia
Vélez-Rubio,Oceanía,0.0,1998,Almería
Vera,Africa,0.0,1998,Almería
Vera,América,0.1941747572815534,1998,Almería
Vera,Asia,0.02987303958177745,1998,Almería
Vera,Europa,1.5832710978342046,1998,Almería
Vera,Oceanía,0.014936519790888725,1998,Almería
Viator,Africa,0.2658788774002954,1998,Almería
Viator,América,0.2363367799113737,1998,Almería
Viator,Asia,0.029542097488921712,1998,Almería
Viator,Europa,0.4431314623338257,1998,Almería
Viator,Oceanía,0.0,1998,Almería
Vícar,Africa,6.131035864556201,1998,Almería
Vícar,América,0.2537901556134375,1998,Almería
Vícar,Asia,0.026714753222467108,1998,Almería
Vícar,Europa,0.40072129833700665,1998,Almería
Vícar,Oceanía,0.0,1998,Almería
Zurgena,Africa,0.0,1998,Almería
Zurgena,América,0.2402691013935608,1998,Almería
Zurgena,Asia,0.0,1998,Almería
Zurgena,Europa,0.09610764055742432,1998,Almería
Zurgena,Oceanía,0.0,1998,Almería
Las Tres Villas,Africa,0.15873015873015872,1998,Almería
Las Tres Villas,América,0.0,1998,Almería
Las Tres Villas,Asia,0.0,1998,Almería
Las Tres Villas,Europa,0.0,1998,Almería
Las Tres Villas,Oceanía,0.0,1998,Almería
El Ejido,Africa,5.200318915686665,1998,Almería
El Ejido,América,0.1554713972493522,1998,Almería
El Ejido,Asia,0.055810245166434125,1998,Almería
El Ejido,Europa,0.38269882399840544,1998,Almería
El Ejido,Oceanía,0.0019932230416583614,1998,Almería
La Mojonera,Africa,7.72748056698674,1998,Almería
La Mojonera,América,0.1066910531931108,1998,Almería
La Mojonera,Asia,0.0,1998,Almería
La Mojonera,Europa,0.15241579027587257,1998,Almería
La Mojonera,Oceanía,0.0,1998,Almería
Alcalá de los Gazules,Africa,0.035855145213338116,1998,Cádiz
Alcalá de los Gazules,América,0.017927572606669058,1998,Cádiz
Alcalá de los Gazules,Asia,0.0,1998,Cádiz
Alcalá de los Gazules,Europa,0.12549300824668339,1998,Cádiz
Alcalá de los Gazules,Oceanía,0.0,1998,Cádiz
Alcalá del Valle,Africa,0.0,1998,Cádiz
Alcalá del Valle,América,0.0,1998,Cádiz
Alcalá del Valle,Asia,0.0,1998,Cádiz
Alcalá del Valle,Europa,0.07580064430547659,1998,Cádiz
Alcalá del Valle,Oceanía,0.0,1998,Cádiz
Algar,Africa,0.05455537370430987,1998,Cádiz
Algar,América,0.0,1998,Cádiz
Algar,Asia,0.0,1998,Cádiz
Algar,Europa,0.0,1998,Cádiz
Algar,Oceanía,0.0,1998,Cádiz
Algeciras,Africa,0.8825952222178638,1998,Cádiz
Algeciras,América,0.12552465382654063,1998,Cádiz
Algeciras,Asia,0.06178166555525046,1998,Cádiz
Algeciras,Europa,0.27164319617149807,1998,Cádiz
Algeciras,Oceanía,0.0009806613580198487,1998,Cádiz
Algodonales,Africa,0.017605633802816902,1998,Cádiz
Algodonales,América,0.017605633802816902,1998,Cádiz
Algodonales,Asia,0.0,1998,Cádiz
Algodonales,Europa,0.3873239436619718,1998,Cádiz
Algodonales,Oceanía,0.0,1998,Cádiz
Arcos de la Frontera,Africa,0.06093845216331505,1998,Cádiz
Arcos de la Frontera,América,0.017923074165680897,1998,Cádiz
Arcos de la Frontera,Asia,0.017923074165680897,1998,Cádiz
Arcos de la Frontera,Europa,0.07886152632899594,1998,Cádiz
Arcos de la Frontera,Oceanía,0.0,1998,Cádiz
Barbate,Africa,0.03650301149844862,1998,Cádiz
Barbate,América,0.07756889943420332,1998,Cádiz
Barbate,Asia,0.02281438218653039,1998,Cádiz
Barbate,Europa,0.33765285636064973,1998,Cádiz
Barbate,Oceanía,0.0,1998,Cádiz
Los Barrios,Africa,0.26736305415656286,1998,Cádiz
Los Barrios,América,0.20518559970154823,1998,Cádiz
Los Barrios,Asia,0.031088727227507308,1998,Cádiz
Los Barrios,Europa,1.0383634893987441,1998,Cádiz
Los Barrios,Oceanía,0.0,1998,Cádiz
Benaocaz,Africa,0.16891891891891891,1998,Cádiz
Benaocaz,América,0.0,1998,Cádiz
Benaocaz,Asia,0.0,1998,Cádiz
Benaocaz,Europa,0.16891891891891891,1998,Cádiz
Benaocaz,Oceanía,0.0,1998,Cádiz
Bornos,Africa,0.09923096005953858,1998,Cádiz
Bornos,América,0.0,1998,Cádiz
Bornos,Asia,0.0,1998,Cádiz
Bornos,Europa,0.037211610022326966,1998,Cádiz
Bornos,Oceanía,0.0,1998,Cádiz
El Bosque,Africa,0.05455537370430987,1998,Cádiz
El Bosque,América,0.10911074740861974,1998,Cádiz
El Bosque,Asia,0.0,1998,Cádiz
El Bosque,Europa,0.0,1998,Cádiz
El Bosque,Oceanía,0.0,1998,Cádiz
Cádiz,Africa,0.09432050807313683,1998,Cádiz
Cádiz,América,0.08314178119039468,1998,Cádiz
