,Municipio,variable,value
410,Cádiz,noviembre_2008,4.14
411,Córdoba,noviembre_2008,3.22
412,Dos Hermanas,noviembre_2008,2.07
413,Granada,noviembre_2008,4.6
414,Huelva,noviembre_2008,2.95
415,Jaén,noviembre_2008,3.87
416,Jerez de la Frontera,noviembre_2008,3.29
417,Marbella,noviembre_2008,2.67
418,Málaga,noviembre_2008,3.11
419,Sevilla,noviembre_2008,3.74
420,Algeciras,diciembre_2008,2.02
421,Almería,diciembre_2008,2.69
422,Cádiz,diciembre_2008,3.74
423,Córdoba,diciembre_2008,3.31
424,Dos Hermanas,diciembre_2008,1.99
425,Granada,diciembre_2008,4.41
426,Huelva,diciembre_2008,2.86
427,Jaén,diciembre_2008,7.55
428,Jerez de la Frontera,diciembre_2008,3.53
429,Marbella,diciembre_2008,2.51
430,Málaga,diciembre_2008,3.05
431,Sevilla,diciembre_2008,3.63
432,Algeciras,enero_2009,1.8
433,Almería,enero_2009,2.59
434,Cádiz,enero_2009,3.32
435,Córdoba,enero_2009,3.4
436,Dos Hermanas,enero_2009,2.3
437,Granada,enero_2009,4.09
438,Huelva,enero_2009,3.06
439,Jaén,enero_2009,6.68
440,Jerez de la Frontera,enero_2009,3.26
441,Marbella,enero_2009,2.42
442,Málaga,enero_2009,2.66
443,Sevilla,enero_2009,3.14
444,Algeciras,febrero_2009,1.71
445,Almería,febrero_2009,2.49
446,Cádiz,febrero_2009,3.38
447,Córdoba,febrero_2009,3.34
448,Dos Hermanas,febrero_2009,2.21
449,Granada,febrero_2009,3.93
450,Huelva,febrero_2009,2.58
451,Jaén,febrero_2009,4.58
452,Jerez de la Frontera,febrero_2009,2.92
453,Marbella,febrero_2009,2.15
454,Málaga,febrero_2009,2.62
455,Sevilla,febrero_2009,3.11
456,Algeciras,marzo_2009,1.84
457,Almería,marzo_2009,2.44
458,Cádiz,marzo_2009,3.35
459,Córdoba,marzo_2009,3.11
460,Dos Hermanas,marzo_2009,2.14
461,Granada,marzo_2009,3.99
462,Huelva,marzo_2009,2.72
463,Jaén,marzo_2009,3.9
464,Jerez de la Frontera,marzo_2009,3.69
465,Marbella,marzo_2009,2.28
466,Málaga,marzo_2009,2.84
467,Sevilla,marzo_2009,3.31
468,Algeciras,abril_2009,1.94
469,Almería,abril_2009,2.31
470,Cádiz,abril_2009,3.11
471,Córdoba,abril_2009,2.8
472,Dos Hermanas,abril_2009,1.85
473,Granada,abril_2009,4.02
474,Huelva,abril_2009,2.59
475,Jaén,abril_2009,3.18
476,Jerez de la Frontera,abril_2009,3.59
477,Marbella,abril_2009,2.82
478,Málaga,abril_2009,2.92
479,Sevilla,abril_2009,3.14
480,Algeciras,mayo_2009,1.92
481,Almería,mayo_2009,2.52
482,Cádiz,mayo_2009,3.58
483,Córdoba,mayo_2009,3.27
484,Dos Hermanas,mayo_2009,2.04
485,Granada,mayo_2009,3.97
486,Huelva,mayo_2009,2.56
487,Jaén,mayo_2009,3.1
488,Jerez de la Frontera,mayo_2009,4.17
489,Marbella,mayo_2009,2.85
490,Málaga,mayo_2009,2.81
491,Sevilla,mayo_2009,3.27
492,Algeciras,junio_2009,2.46
493,Almería,junio_2009,3.22
494,Cádiz,junio_2009,4.75
495,Córdoba,junio_2009,3.45
496,Dos Hermanas,junio_2009,2.33
497,Granada,junio_2009,4.47
498,Huelva,junio_2009,2.94
499,Jaén,junio_2009,3.54
500,Jerez de la Frontera,junio_2009,4.0
501,Marbella,junio_2009,3.62
502,Málaga,junio_2009,3.26
503,Sevilla,junio_2009,3.58
504,Algeciras,julio_2009,3.01
505,Almería,julio_2009,3.1
506,Cádiz,julio_2009,4.91
507,Córdoba,julio_2009,3.5
508,Dos Hermanas,julio_2009,2.64
509,Granada,julio_2009,5.25
510,Huelva,julio_2009,3.17
511,Jaén,julio_2009,3.92
512,Jerez de la Frontera,julio_2009,3.83
513,Marbella,julio_2009,4.69
514,Málaga,julio_2009,3.43
515,Sevilla,julio_2009,3.94
516,Algeciras,agosto_2009,2.3
517,Almería,agosto_2009,2.33
518,Cádiz,agosto_2009,3.54
519,Córdoba,agosto_2009,2.25
520,Dos Hermanas,agosto_2009,2.4
521,Granada,agosto_2009,2.94
522,Huelva,agosto_2009,2.36
523,Jaén,agosto_2009,3.13
524,Jerez de la Frontera,agosto_2009,4.11
525,Marbella,agosto_2009,2.99
526,Málaga,agosto_2009,2.52
527,Sevilla,agosto_2009,2.71
528,Algeciras,septiembre_2009,2.59
529,Almería,septiembre_2009,3.71
530,Cádiz,septiembre_2009,4.75
531,Córdoba,septiembre_2009,3.22
532,Dos Hermanas,septiembre_2009,2.87
533,Granada,septiembre_2009,4.96
534,Huelva,septiembre_2009,3.01
535,Jaén,septiembre_2009,4.42
