Municipios;Sexo;Periodo;Total
11022 La Línea de la Concepción;Total;2016;63278
11022 La Línea de la Concepción;Total;2015;63352
11022 La Línea de la Concepción;Total;2014;63132
11022 La Línea de la Concepción;Total;2013;62697
11022 La Línea de la Concepción;Total;2012;64704
11022 La Línea de la Concepción;Total;2011;64944
11022 La Línea de la Concepción;Total;2010;64645
11022 La Línea de la Concepción;Total;2009;64595
11022 La Línea de la Concepción;Total;2008;64240
11022 La Línea de la Concepción;Total;2007;63663
11022 La Línea de la Concepción;Total;2006;63026
11022 La Línea de la Concepción;Total;2005;62682
11022 La Línea de la Concepción;Total;2004;61875
11022 La Línea de la Concepción;Total;2003;61892
11022 La Línea de la Concepción;Total;2002;60951
11022 La Línea de la Concepción;Total;2001;60565
11022 La Línea de la Concepción;Total;2000;59993
11022 La Línea de la Concepción;Total;1999;59828
11022 La Línea de la Concepción;Total;1998;59629
11023 Medina-Sidonia;Total;2019;11708
11023 Medina-Sidonia;Total;2018;11658
11023 Medina-Sidonia;Total;2017;11741
11023 Medina-Sidonia;Total;2016;11756
11023 Medina-Sidonia;Total;2015;11749
11023 Medina-Sidonia;Total;2014;11794
11023 Medina-Sidonia;Total;2013;11781
11023 Medina-Sidonia;Total;2012;11863
11023 Medina-Sidonia;Total;2011;11823
11023 Medina-Sidonia;Total;2010;11741
11023 Medina-Sidonia;Total;2009;11683
11023 Medina-Sidonia;Total;2008;11514
11023 Medina-Sidonia;Total;2007;11320
11023 Medina-Sidonia;Total;2006;11166
11023 Medina-Sidonia;Total;2005;10962
11023 Medina-Sidonia;Total;2004;10802
11023 Medina-Sidonia;Total;2003;10811
11023 Medina-Sidonia;Total;2002;10770
11023 Medina-Sidonia;Total;2001;10775
11023 Medina-Sidonia;Total;2000;10793
11023 Medina-Sidonia;Total;1999;10844
11023 Medina-Sidonia;Total;1998;10872
11024 Olvera;Total;2019;8113
11024 Olvera;Total;2018;8124
11024 Olvera;Total;2017;8153
11024 Olvera;Total;2016;8233
11024 Olvera;Total;2015;8289
11024 Olvera;Total;2014;8351
11024 Olvera;Total;2013;8397
11024 Olvera;Total;2012;8494
11024 Olvera;Total;2011;8549
11024 Olvera;Total;2010;8570
11024 Olvera;Total;2009;8589
11024 Olvera;Total;2008;8629
11024 Olvera;Total;2007;8643
11024 Olvera;Total;2006;8612
11024 Olvera;Total;2005;8585
11024 Olvera;Total;2004;8549
11024 Olvera;Total;2003;8584
11024 Olvera;Total;2002;8614
11024 Olvera;Total;2001;8538
11024 Olvera;Total;2000;8685
11024 Olvera;Total;1999;8818
11024 Olvera;Total;1998;8884
11025 Paterna de Rivera;Total;2019;5470
11025 Paterna de Rivera;Total;2018;5530
11025 Paterna de Rivera;Total;2017;5577
11025 Paterna de Rivera;Total;2016;5570
